107,RAPE LEAVES (dried),7.4,27.0,2.9,15.3,6.7,40.7,297,3095,500,
108,SAFFLOWER LEAVES,91.1,2.5,0.6,1.3,,4.5,33,185,35,5.7
109,SHEPU,88.0,3.0,0.5,2.2,1.1,5.2,37,190,42,17.4
110,SPINACH,92.1,2.0,0.7,1.7,0.6,2.9,26,73,21,1.14
111,SPINACH stalks,93.4,0.9,0.1,1.8,,3.8,20,90,20,1.6
112,SUSNISAG,86.9,3.7,1.4,2.1,1.3,4.6,46,53,91,
113,"TAMARIND LEAVES, tender",70.5,5.8,2.1,1.5,1.9,18.2,115,101,140,0.30
114,TURNIP GREENS,81.9,4.0,1.5,2.2,1.0,9.4,67,710,60,28.4,
115,ARROW ROOT FLOUR,16.5,0.2,0.1,0.1,,83.1,334,10,20,1.0
116,BANANA RHIZOME,85.1,0.4,0.2,1.4,1.1,11.8,51,25,10,1.1
117,BEET ROOT,87.7,1.7,0.1,0.8,0.9,8.8,43,18.3,55,1.19
118,CARROT,86.0,0.9,0.2,1.1,1.2,10.6,48,80,530,1.03
119,COLOCASIA,73.1,3.0,0.1,1.7,1.0,21.1,97,40,140,0.42
120,KHAMALU,79.6,1.3,0.1,0.8,0.1,18.1,79,16,31,0.5
121,MANGO GINGER,85.0,1.1,0.7,1.4,1.3,10.5,53,25,90,2.6
122,ONION big,86.6,1.2,0.1,0.4,0.6,11.1,50,46.9,50,0.60
123,ONION small,84.3,1.8,0.1,0.6,0.6,12.6,59,40,60,1.2
124,PARSNIP,72.4,1.3,0.3,1.1,1.7,23.2,101,50,40,0.5
125,POTATO,74.7,1.6,0.1,0.6,0.4,22.6,97,10,40,0.48
126,RADISH pink,90.8,0.6,0.3,0.9,0.6,6.8,32,50,20,0.37
127,"RADISH,rat-tailed",92.3,1.3,0.3,0.7,1.1,4.3,25,78,24,
128,RADISH table,94.9,0.5,0.1,0.7,0.6,3.2,16,20,20,1.0
129,RADISH white,94.4,0.7,0.1,0.6,0.8,3.4,17,35,22,0.4
130,SWEET POTATO,68.5,1.2,0.3,1.0,0.8,28.2,120,46,50,0.21
131,TAPIOCA,59.4,0.7,0.2,1.0,0.6,38.1,157,50,40,0.9
132,TAPIOCA chips dried,12.0,1.3,0.3,2.0,1.8,82.6,338,91,70,3.6
133,TURNIP,91.6,0.5,0.2,0.6,0.9,6.2,29,30,40,0.4
134,"YAM, elephant",78.7,1.2,0.1,0.8,0.8,18.4,79,50,34,0.6
135,"YAM, ordinary",69.9,1.4,0.1,1.6,1.0,26.0,111,35,20,1.19
136,"YAM, wild",70.4,2.5,0.3,1.4,1.0,24.4,110,20,74,1.0,
137,ASH GOURD,96.5,0.4,0.1,0.3,0.8,1.9,10,30,20,0.8
138,"BEANS, scarlet runner",58.3,7.4,1.0,1.6,1.9,29.8,158,50,160,2.6
139,BITTER GOURD,92.4,1.6,0.2,0.8,0.8,4.2,25,20,70,0.61
140,BITTER GOURD small,83.2,2.1,1.0,1.4,1.7,10.6,60,23,38,2.0
141,BOTTLE GOURD,96.1,0.2,0.1,0.5,0.6,2.5,12,20,10,0.46
142,BRINJAL,92.7,1.4,0.3,0.3,1.3,4.0,24,18,47,0.38
143,BROAD BEANS,85.4,4.5,0.1,0.8,2.0,7.2,48,50,64,1.4
144,CAULIFLOWER,90.8,2.6,0.4,1.0,1.2,4.0,30,33,57,1.23
