452,AMARANTH SEEDS,,560,121,301,59,273,236,111,,275,403,211,241
453,BAMBOO SEEDS,2.96,560,130,290,50,270,200,110,130,230,480,310,370
454,BANTI,1.33,,,180,30,200,,120,,140,1040,550,400
455,BUCKWHEAT,1.65,570,130,300,80,240,140,100,110,220,380,240,370
456,CHENOPODIUM ALBUM SEEDS,,440,170,337,54,470,172,112,40,429,402,195,246
459,JOB'S TEARS,2.8,270,130,130,30,300,270,160,110,200,1020,300,360
460,OAT MEAL,2.18,390,110,230,80,300,210,100,90,200,440,270,330
466,GOA BEANS (tuber),,381,186,475,,325,312,68,,287,,306,331
466a,GOA BEAN (tuber),,275,103,318,,306,212,162,,325,,262,343
467,MALMANDI,,1544,244,445,,260,64,53,,307,535,293,319
506,VELAI KEERAI (defatted seed cake),,115,27,31,5,52,25,14,,38,71,37,53
544,ADDA SEEDS,4.37,530,90,260,50,200,,60,,190,410,260,260
552,OKRA (whole seed),,860,220,580,110,250,180,140,,220,450,260,360
553,OKRA (kernel),,850,200,540,120,290,200,130,230,,490,250,300
555,MARKINGNUT kernel,4.22,600,110,260,60,220,,90,,130,460,270,300
