452,AMARANTH SEEDS,10,14.7,1.9,3.1,9.6,60.7,319,510,397,11
453,BAMBOO SEEDS,7.8,13.1,1.2,1.1,0.9,75.9,367,37,162,6.4
454,BANTI,11.3,8.3,4.3,1.4,,74.7,371,14,121,5
455,BUCK WHEAT,11.3,10.3,2.4,2.3,8.6,65.1,323,64,355,15.5
456,CHENOPODIUM ALBUM SEEDS,9.2,14.4,7.3,3.57,,,,300,416,5.3
457,COWAGE SEED FLOUR,5.3,28.2,7,1.7,2.2,55.6,398,188,211,
458,DAINCHA SEEDS,10.8,28.1,3.8,3.6,8.6,45.1,327,240,390,16.5
459,JOB'S TEARS,10.8,17.5,6,1.8,0.5,63.4,378,23,408,4.2
460,OATMEAL,10.7,13.6,7.6,1.8,3.5,62.8,374,50,380,3.8
461,KITTUL FLOUR,13.1,2.4,0.3,2.5,,81.7,339,130,60,20
462,LOTUS SEED,10,17.2,2.4,3.8,2.6,64,346,36,294,2.3
463,MAKHANA,12.8,9.7,0.1,0.5,,76.9,347,20,90,1.4
464,RAJKEERA SEEDS,9.3,16.5,5.3,3.5,2.7,62.7,364,223,655,17.6
465,WATER LILY SEEDS,10,8.3,1,0.9,4.2,75.6,345,20,110,
466,GOA BEANS,7.8,32.7,18.4,5.1,7.2,,,,,
467,MALMANDI,,26.1,,2.18,,,,154,291,
468,SUTARI,9.6,21.5,0.3,3.5,4.2,60.9,332,302,297,
469,"BAMBOO, tender shoots",88.8,3.9,0.5,1.1,,5.7,43,20,65,0.1
470,CEYLON PASALI,91.2,1.9,0.7,1.9,,4.3,31,120,16,0.9
471,CHIMTI SAG,83.2,3.2,0.7,3.9,2.1,6.9,46,194,48,
472,GIRIASAG,89.3,2,0.4,3.8,0.9,3.6,26,50,79,1.6
473,GULCHARNI,91.7,1.3,0.5,1.2,1,4.3,27,59,60,
474,KASINI KEERAT,91.2,1.9,0.7,1.6,,4.6,33,94,21,8
475,KATHA SAG,90.6,1.9,0.5,2.3,1.7,3,24,253,35,
476,KENA SAG,92.2,2.1,0.4,2,0.8,2.5,22,100,50,
477,KHESARI LEAVES,84.2,6.1,1,1.1,2.1,5.5,55,160,100,7.3
478,KOILA KARHA SAG,87.2,3,0.4,2.8,1.4,5.2,36,330,21,
479,KONAR SAG,78.1,3.6,1,2.1,5.5,9.7,62,312,92,
480,KOALA LEAVES,82.7,6.1,0.7,1.5,,9,67,112,122,12.1
481,MANAL KEEAAI,91.7,2.4,0.4,1,2.2,2.3,22,370,67,12.3
482,MATA SAG (lupu),7.2,7.2,4.8,9.5,13.5,57.8,303,1717,80,
483,NACHUKOTTA KEERAI,82.6,4.3,0.7,3.3,,9.1,60,585,45,41.6
484,NEEM LEAVES mature,59.4,7.1,1,3.4,6.2,22.9,129,510,80,17.1
485,NEEM LEAVES Tender,59.4,11.6,3,2.6,2.2,21.2,158,130,190,25.3
