1,BAJRA,137,10.9,307,1.06,1.15,0.069,3.1,0.023,147,39
2,BARLEY,21,,,1.19,1.03,,1.2,0.016,130,91
3,ITALIAN MILLET,81,4.6,250,1.40,0.60,0.070,2.4,0.030,171,37
4,JOWAR,171,7.3,131,0.46,0.78,0.039,1.6,0.008,54,44
5,"MAIZE, dry",139,15.9,286,0.41,0.48,0.038,2.8,0.004,114,33
6,"MAIZE, tender",40,51.7,151,,,,,,61,34
7,PANIVARAGU,153,8.2,113,1.60,0.60,,1.4,0.020,157,19
8,RAGI,137,11.0,408,0.47,5.49,0.102,2.3,0.028,160,44
9,"RICE, parboiled, hand pounded",157,,,0.24,1.10,0.078,1.4,0.009,,
10,"RICE, parboiled, milled 5%",91,,,0.17,0.80,0.068,1.4,0.006,,
10a,"RICE, parboiled, milled 10%",61,,,0.17,0.66,0.054,1.3,0.005,,
12,"RICE, milled 5%",90,,,0.14,0.59,0.058,1.4,0.004,,
12a,"RICE, milled 10%",64,,,0.07,0.51,0.045,1.3,0.003,,
14,"RICE, flakes",101,10.9,154,0.37,,,,,105,17
16,SAMAI,133,8.1,129,1.00,0.68,0.016,3.7,0.180,149,13
17,SANWA MILLET,82,,,0.60,0.96,,3.0,0.090,,
18,VARAGU,147,4.6,144,1.60,1.10,,0.7,0.020,136,11
19,"WHEAT, bulgar (parboiled)",144,4.5,260,0.56,,,,,143,22
20,"WHEAT, whole",138,17.1,284,0.68,2.29,0.051,2.7,0.012,128,47
21,"WHEAT, flour (whole)",132,20.0,315,0.51,2.29,0.039,2.2,0.006,122,29
22,"WHEAT, flour (refined)",54,9.3,130,0.21,0.62,0.011,0.6,0.001,115,47
24,"WHEAT, semolina",,21.0,83,,,,,,,
25,"WHEAT, vermicelli",42,7.9,138,0.29,,,,,145,46
28,"BENGAL GRAM, whole (desi)",119,37.3,808,1.18,1.21,0.154,6.1,0.008,179,58
28a,"BENGAL GRAM, whole (kabuli)",169,,,1.01,0.74,,2.9,0.032,,
29,"BENGAL GRAM, dhal",130,73.2,720,1.34,1.05,0.195,1.7,0.001,160,39
31,"BLACK GRAM, whole",154,,,1.05,1.01,0.810,3.3,0.012,,
31a,"BLACK GRAM, dhal",130,39.8,800,0.93,0.96,0.425,3.0,0.029,174,9
32,COW PEA,210,23.2,1131,0.87,1.34,1.890,4.6,0.029,165,10
34,"GREEN GRAM, whole",127,28.0,843,0.39,2.47,0.304,3.0,0.014,188,12
35,"GREEN GRAM, dhal",122,27.2,1150,0.39,1.02,0.446,2.8,0.010,214,25
36,HORSE GRAM,156,11.5,762,1.81,1.57,0.749,2.8,0.024,181,8
37,"KHESARI, dhal",92,37.7,644,0.77,,,,,144,36
38,"LENTIL, whole",80,40.1,629,1.87,1.04,0.171,2.8,0.024,104,19
38a,"LENTIL, dhal",74,,,1.37,0.81,,3.1,0.020,,
39,MOTH BEANS,225,29.5,1096,0.85,,,,,180,9
40,PEAS green,34,7.8,79,0.23,,,,,95,20
41,PEAS dry,100,20.4,725,1.29,0.58,0.638,2.3,0.032,189,59
42,PEAS roasted,122,14.7,750,1.32,,,,,200,73
43,RAJMAH,184,,,1.45,1.60,,4.5,0.029,,
44,"REDGRAM, whole",86,,,1.23,0.96,0.222,3.1,0.010,,
44a,"REDGRAM, dhal",90,28.5,1104,1.20,0.69,0.283,0.9,0.001,177,5
45,REDGRAM (tender),58,93.0,463,0.40,,,,,494,22
46,SOYABEAN (black),238,,,1.38,2.35,,4.4,0.029,,
46a,SOYABEAN (white),175,,,1.12,2.11,,3.4,0.028,,
49,"AMARANTHUS, Gangeticus",122,230.0,341,0.08,0.36,0.130,0.18,0.007,61,88
58,AMBAT CHUKA,123,,,0.04,0.40,,0.27,0.006,,
62,BETAL LEAVES,447,,,2.32,4.47,,3.44,0.137,,
65,BRUSSELS SPROUTS,26,7.9,477,0.07,,,,,212,22
66,CABBAGE,31,,,0.02,0.18,0.078,0.30,0.005,,
69,CELERY LEAVES,52,35.5,210,0.30,,,,,102,19
72,COLOCASIA LEAVES,32,,,0.18,,,,0.011,,72
75,CORIANDER LEAVES,31,58.3,256,0.14,0.50,1.120,0.32,0.014,49,43
77,CURRY LEAVES,44,,,0.10,0.15,,0.20,0.006,81,198
78,DRUM STICK LEAVES,42,,259,0.07,0.37,,0.16,0.010,137,423
79,FENUGREEK LEAVES,33,76.1,31,0.10,0.23,0.400,0.36,0.006,167,165
84,GOGU,66,,,0.08,0.30,,0.27,0.005,60,19
89,LETTUCE,30,58.0,33,0.08,,,,,27,23
94,MINT,60,,,0.18,0.57,,0.44,0.008,84,34
100,PARUPPU KEERAI,120,67.2,716,0.19,,,,,63,73
101,PONNANGANNI,46,,,0.19,0.46,,,,13,
103,RADISH LEAVES,22,,,0.02,0.01,,0.08,0.002,,
108,SAFFLOWER LEAVES,51,126.4,181,0.22,,,,,,235
110,SPINACH,64,58.5,206,0.10,0.56,0.010,0.30,0.005,30,54
113,"TAMARIND LEAVES, tender",26,,,0.02,0.12,,0.26,0.009,63,94
115,ARROW ROOT flour,,30.0,20,,,,,,,
117,BEET ROOT,9,59.8,43,0.29,0.19,,0.91,0.012,14,24
118,CARROT,17,35.6,108,0.10,0.16,,0.36,0.017,27,13
119,COLOCASIA,28,9.0,550,0.18,0.28,,0.31,0.005,,
122,"ONION, (cig)",16,4.0,127,0.18,0.18,0.030,0.41,0.009,,
125,POTATO,30,11.0,247,0.16,0.13,0.070,0.53,0.007,37,16
126,"RADISH, pink",196,63.5,10,0.07,0.15,,0.68,0.009,,
129,"RADISH, white",,33.0,138,0.40,,,,,,
130,SWEET POTATO,27,9.0,393,0.02,0.22,,0.11,0.006,,
132,"TAPIOCA, chips dried",66,7.5,764,0.15,,,,,58,10
135,"YAM, ordinary",17,9.0,237,0.12,0.12,,0.45,0.016,,
136,"YAM, wild",34,11.0,450,0.16,,,,,35,29
139,BITTER GOURD (white),36,17.8,152,0.10,0.08,,0.46,0.005,15,8
140,BITTER GOURD (green),33,2.4,171,0.09,0.08,,0.39,0.005,21,8
141,BOTTLE GOURD,26,1.8,87,0.03,0.06,,0.22,0.046,10,5
142,BRINJAL,15,3.0,200,0.12,0.13,,0.22,0.007,44,52
143,BROAD BEANS,33,43.5,39,0.17,,,,,53,43
144,CAULIFLOWER,18,53.0,138,0.13,0.10,,0.40,0.003,231,34
146,CLUSTER BEANS,47,,,0.08,0.10,,0.36,0.004,,
149,CUCUMBER,14,10.2,50,0.09,0.14,0.070,0.23,0.002,17,15
151,DRUM STICK,28,,259,0.01,0.05,,0.16,0.003,137,423
153,"FIELD BEANS, tender",17,55.4,74,0.10,0.12,,0.40,0.004,40,31
155,FRENCH BEANS,38,4.3,120,0.06,0.12,0.020,0.42,0.006,37,10
157,GIANT CHILLIES,12,,,0.12,0.06,,0.13,0.006,,
158,"JACK FRUIT, tender",,35.0,328,,,,,,,
159,"JACK FRUIT, seeds",54,63.2,246,0.19,,,,,356,14
164,KOVAI,36,,,0.07,0.22,,0.26,0.004,,
165,KNOL-KHOL,33,112.0,37,0.05,0.11,,0.24,0.019,143,67
166,LADIES FINGERS,53,6.9,103,0.11,0.15,,0.42,0.005,30,41
