453,BAMBOO SEEDS,32,91.0,,0.19,,,,,,76
455,BUCKWHEAT,227,16.2,362,0.17,,,,,148,6
456,CHENOPODIUM ALBUM SEEDS,292,,,0.52,2.13,0.067,2.43,,
464,RAJKEERA SEEDS,351,,,0.63,,,,,174,9
466,GOA BEANS (whole),269,,,1.04,3.30,,3.0,0.029,,
485,"NEEM LEAVES, tender",127,72.2,254,0.60,,,,,96,26
500,SONCHALSAG,,680,,0.39,,,,,,
501,SOYA LEAVES,57,,,0.09,0.45,0.439,,0.012,,
545,JUNGLI BADAM,274,,517,0.82,,,,,122,12
549,BAJJAR BHANG,405,,,,,,,,,23
582,THAVITTU PAZHAM,30,7.7,106,0.15,,,,,30,19
584,VIKKI PAZHAM,37,3.9,435,0.08,,,,,68,85,
