1,BAJRA,1.86,300,140,190,110,290,200,150,110,240,750,260,330
2,BARLEY,1.84,300,180,230,100,310,180,100,100,200,420,240,310
3,ITALIAN MILLET,1.97,220,130,140,60,420,,180,100,190,1040,480,430
4,JOWAR,1.66,240,160,150,70,300,180,100,90,210,880,270,340
5,"MAIZE, dry",1.78,290,160,200,40,290,240,120,100,280,720,240,300
7,PANIVARAGU,2,290,110,190,50,310,,160,,150,760,410,410
8,RAGI,1.17,300,130,220,100,310,220,210,140,240,690,400,480
10,"RICE, parboiled, milled",1.02,640,190,220,70,350,300,220,100,290,560,310,460
12,"RICE, raw, milled",1.09,480,130,230,80,280,290,150,90,230,500,300,380
16,SAMAI,1.23,250,120,110,60,330,,180,90,190,760,370,350
18,VARAGU,1.33,270,120,150,50,430,,180,110,200,650,360,410
20,"WHEAT, whole",1.89,290,130,170,70,280,180,90,140,180,410,220,280
22,"WHEAT, flour (refined)",1.76,190,120,110,60,290,130,90,140,150,400,220,240
23,"WHEAT, germ",4.67,460,160,380,70,230,190,110,100,260,410,240,300
28,BENGAL GRAM (whole),2.74,570,160,440,50,360,180,80,80,220,580,320,310
31,BLACK GRAM dhal,3.84,520,170,400,70,310,140,90,80,220,500,340,310
32,COW PEA,3.86,420,200,430,70,320,230,90,80,230,480,270,310
33,FIELD BEAN,3.98,530,180,500,30,330,,40,80,250,550,360,310
34,GREEN GRAM whole,3.84,500,170,460,60,350,100,80,60,200,510,350,320
36,HORSE GRAM,3.52,530,190,520,70,380,,70,130,230,540,370,390
37,KHESARIDHAL,4.51,490,160,470,50,260,,30,70,140,410,410,250
38,LENTIL,4.02,540,160,440,60,270,200,50,70,220,470,270,310
39,MOTH BEANS,3.78,,210,340,40,280,,60,30,,420,310,200
40,PEAS,1.15,570,130,400,60,250,220,60,80,240,380,290,290
41,PEAS (dry),3.15,570,130,440,60,280,170,50,70,240,430,280,300
43,RAJMAH,3.66,370,180,460,60,340,100,60,40,270,470,300,330
44,REDGRAM DHAL,3.57,360,250,480,40,460,130,60,60,200,450,250,260
46,SOYA BEAN,6.91,450,150,400,80,300,210,80,100,240,480,320,320
47,AGATHI,1.34,360,120,250,100,380,,90,90,300,560,390,430
49,"AMARANTH, gangeticus tender",0.46,240,130,250,70,180,190,70,40,140,370,290,280
