453,BAMBOO SEEDS,,0.17,0.12,1.1,,,,0
454,BANTI,0,0.35,0.03,1.8,,,,0
455,BUCKWHEAT,0,0.90,0.34,4.4,,,,0
456,CHENOPODIUM ALBUM SEEDS,,0.17,0.17,3.5,,,,
459,JOB'S TEARS,,0.31,0.15,6.7,,,,0
460,OATMEAL,0,0.98,0.16,1.1,,32.0,34.0,0
467,MALMANDI,,0.8,0.31,4.47,,,,
469,BAMBOO TENDER SHOOTS,0,0.08,0.19,0.2,,,,5
472,GIRIA SAG,2100,0.01,0.05,0.2,,,,13
477,KHESARI LEAVES,3000,0.01,0.03,,,,,41
480,KOALA LEAVES,1764,0.10,0.27,1.70,,,,10
486,PACHARISI KEERAI,,,,,,,,44
495,SARAVALLAI KEERAI,,,,,,,,70
500,SONCHALSAG,2490,,,0.2,,,,79
501,SOYA LEAVES,,,0.16,,,,,
502,SWEET POTATO GREENS,750,0.07,0.24,1.7,,,,27
507,WATER CRESS,2803,0.12,0.38,0.8,,,,13
511,CANNA edible,0,0.06,0.06,1.7,,,,5
515,GARMAR,93,0.04,0.05,0.4,,,,0
517,LOTUS ROOT,,0.10,,,,,,22
526,ARTICHOKE,37,0.23,0.01,,,,,0
528,BOROOEE raw,,,,,,,,6
536,RHUBARB STALKS,,,,,,,,37
544,ADDA SEED (kernel),,0.17,0.17,1.1,,,,
545,JUNGLI BADAM,0,0.06,0.08,1.1,,,,5
554,CLEOME VISCOSA defatted seed cake,0,0.11,0.15,0.15,,,,
557,BAMBOO FRUIT,11,0.09,0.09,,,,,1
558,BLACK BERRY,7,,,2.0,,,,9
561,CHERIMOYER,2,0.03,0.21,1.0,,,,7
562,DURIAN,12,,,,,,,
566,KILA PAZHAM,48,,,,,,,
568,LANGSAT,7,0.09,0.12,0,,,,1
579,RAYAN,495,0.07,0.08,0.7,,,,16
582,THAVITTU PAZHAM,44,0.07,0.04,0.3,,,,0
583,TUMKI,361,0.01,0.04,2.3,,,,1
584,VIKKI PAZHAM,190,0.02,0.06,0.3,,,,0
